Model Name,Model Parameters,Epochs,Category,Category Name,Category Video,Model Time,Seed,F1 (0.5),Loss
dft,0,60,49,cameraJitter,sidewalk,0.015855026,5,0.622426304,0.396140766
dft,0,60,50,cameraJitter,traffic,0.016867489,5,0.836145213,0.317577042
Madu2,0,60,0,baseline,pedestrians,0.024695945,5,0.896841642,0.150907318
Madu2,0,60,1,baseline,PETS2006,0.027257031,5,0.683515984,0.227046245
Madu2,0,60,2,baseline,highway,0.025741227,5,0.960666867,0.121307547
Madu2,0,60,3,baseline,office,0.024143855,5,0.81598677,0.296537374
Madu2,0,60,5,lowFramerate,tramCrossroad_1fps,0.021004717,5,0.828588685,1.017926931
Madu2,0,60,6,lowFramerate,tunnelExit_0_35fps,0.023013771,5,0.260764259,0.709881085
Madu2,0,60,7,lowFramerate,turnpike_0_5fps,0.027424653,5,0.933305992,0.481553937
Madu2,0,60,8,thermal,corridor,0.025585639,5,0.932033261,0.12359954
Madu2,0,60,9,thermal,diningRoom,0.02573688,5,0.862324357,0.206759741
Madu2,0,60,10,thermal,lakeSide,0.025580871,5,0.66046325,0.321108013
Madu2,0,60,11,thermal,library,0.026192784,5,0.97141888,0.188690552
Madu2,0,60,12,thermal,park,0.027209711,5,0.719734901,0.221311262
Madu2,0,60,13,badWeather,blizzard,0.024513602,5,0.797432273,0.518163843
Madu2,0,60,14,badWeather,skating,0.023567462,5,0.944566971,0.386863276
Madu2,0,60,15,badWeather,snowFall,0.023872352,5,0.452617523,0.548851688
Madu2,0,60,16,badWeather,wetSnow,0.025873697,5,0.755150716,0.634089358
Madu2,0,60,18,dynamicBackground,canoe,0.026005459,5,0.686358362,0.260795358
Madu2,0,60,19,dynamicBackground,fall,0.024441218,5,0.655278974,0.377806976
Madu2,0,60,21,dynamicBackground,fountain02,0.023488979,5,0,0.415793218
Madu2,0,60,22,dynamicBackground,overpass,0.025587368,5,0.79013395,0.212156746
Madu2,0,60,23,shadow,backdoor,0.025872564,5,0.943395171,0.423853475
Madu2,0,60,24,shadow,bungalows,0.023556583,5,0.823667106,0.257964793
